Player,Pos,3P%,2P%,FT%,TRB,AST,STL,BLK
Quincy Acy,PF,0.388,0.606,0.735,3.2,0.5,0.5,0.4
Jordan Adams,SG,0,0.4,0.6,1,1.5,1.5,0
Steven Adams,C,0,0.613,0.582,6.7,0.8,0.5,1.1
Arron Afflalo,SG,0.382,0.469,0.84,3.7,2,0.4,0.1
Alexis Ajinca,C,0,0.478,0.839,4.6,0.5,0.3,0.6
Cole Aldrich,C,0,0.596,0.714,4.8,0.8,0.8,1.1
LaMarcus Aldridge,PF,0,0.521,0.858,8.5,1.5,0.5,1.1
Cliff Alexander,PF,0,0.5,0,0.8,0,0.1,0.3
Lavoy Allen,PF,0,0.516,0.63,5.4,1,0.3,0.5
Tony Allen,SG,0.357,0.468,0.652,4.6,1.1,1.7,0.3
Al-Farouq Aminu,SF,0.361,0.468,0.737,6.1,1.7,0.9,0.6
Lou Amundson,PF,0,0.358,0.519,1.7,0.4,0.2,0.2
Chris Andersen,C,0.286,0.586,0.694,3.6,0.4,0.6,0.5
Alan Anderson,SG,0.324,0.409,0.733,2.1,1.1,0.3,0.1
James Anderson,SG,0.267,0.478,0.759,1.7,0.8,0.4,0.3
Justin Anderson,SF,0.265,0.533,0.8,2.4,0.5,0.3,0.5
Kyle Anderson,SF,0.324,0.488,0.747,3.1,1.6,0.8,0.4
Ryan Anderson,PF,0.366,0.466,0.873,6,1.1,0.6,0.4
Giannis Antetokounmpo,PG,0.257,0.537,0.724,7.7,4.3,1.2,1.4
Thanasis Antetokounmpo,SF,0,1,0,0.5,0,0,0
Carmelo Anthony,SF,0.339,0.463,0.829,7.7,4.2,0.9,0.5
Joel Anthony,C,0,0.6,0.75,1.1,0.1,0.1,0.6
Keith Appling,PG,0,0.4,1,0.2,0.2,0.2,0
Trevor Ariza,SF,0.371,0.478,0.783,4.5,2.3,2,0.3
Darrell Arthur,PF,0.385,0.473,0.755,4.2,1.4,0.8,0.7
Omer Asik,C,0,0.533,0.545,6.1,0.4,0.3,0.3
D.J. Augustin,PG,0.405,0.44,0.805,1.5,3.2,0.6,0.1
Jeff Ayres,C,0,0.545,1,1.3,0.3,0,0.2
Luke Babbitt,SF,0.404,0.433,0.78,3.1,1.1,0.2,0.1
Cameron Bairstow,C,0.2,0.343,0.875,1.6,0.3,0.1,0.2
Leandro Barbosa,SG,0.355,0.508,0.839,1.7,1.2,0.6,0.1
J.J. Barea,PG,0.385,0.481,0.771,2.1,4.1,0.4,0
Andrea Bargnani,C,0.188,0.471,0.825,2.1,0.4,0.1,0.2
Harrison Barnes,SF,0.383,0.508,0.761,4.9,1.8,0.6,0.2
Matt Barnes,SF,0.322,0.449,0.804,5.5,2.1,1,0.8
Will Barton,SG,0.345,0.476,0.806,5.8,2.5,0.9,0.5
Brandon Bass,PF,0,0.552,0.845,4.3,1.1,0.5,0.8
Nicolas Batum,SF,0.348,0.492,0.849,6.1,5.8,0.9,0.6
Jerryd Bayless,SG,0.437,0.408,0.778,2.7,3.1,0.9,0.2
Aron Baynes,C,0,0.508,0.764,4.7,0.6,0.3,0.6
Kent Bazemore,SF,0.357,0.502,0.815,5.1,2.3,1.3,0.5
Bradley Beal,SG,0.387,0.481,0.767,3.4,2.9,1,0.2
Michael Beasley,SF,0.333,0.531,0.776,4.9,0.8,0.6,0.5
Marco Belinelli,SG,0.306,0.456,0.833,1.7,1.9,0.5,0
Anthony Bennett,PF,0.214,0.385,0.9,1.2,0,0.3,0
Patrick Beverley,PG,0.4,0.472,0.682,3.5,3.4,1.3,0.4
Bismack Biyombo,C,0,0.544,0.628,8,0.4,0.2,1.6
Nemanja Bjelica,PF,0.384,0.564,0.727,3.5,1.4,0.4,0.4
Tarik Black,C,0,0.548,0.422,4,0.4,0.4,0.5
DeJuan Blair,C,0,0.418,0.385,2,0.4,0.3,0.1
Steve Blake,PG,0.344,0.461,0.8,1.5,3.4,0.4,0.1
Eric Bledsoe,PG,0.372,0.482,0.802,4,6.1,2,0.6
Bojan Bogdanovic,SF,0.382,0.474,0.833,3.2,1.3,0.4,0.1
Andrew Bogut,C,1,0.626,0.48,7,2.3,0.5,1.6
Matt Bonner,C,0.441,0.609,0.75,0.9,0.3,0.2,0
Devin Booker,SG,0.343,0.464,0.84,2.5,2.6,0.6,0.3
Trevor Booker,PF,0.293,0.513,0.67,5.7,1.1,0.7,0.5
Chris Bosh,PF,0.365,0.508,0.795,7.4,2.4,0.7,0.6
Avery Bradley,SG,0.361,0.505,0.78,2.9,2.1,1.5,0.3
